areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-11-02,3599,20212032,2417,18877916,1182,1334116
nation,England,E92000001,2022-11-01,4091,20208433,2715,18875499,1376,1332934
nation,England,E92000001,2022-10-31,4633,20204342,3107,18872784,1526,1331558
nation,England,E92000001,2022-10-30,3827,20199709,2567,18869677,1260,1330032
nation,England,E92000001,2022-10-29,3227,20195882,2266,18867110,961,1328772
nation,England,E92000001,2022-10-28,3916,20192655,2834,18864844,1082,1327811
nation,England,E92000001,2022-10-27,4372,20188739,3130,18862010,1242,1326729
nation,England,E92000001,2022-10-26,4924,20184367,3462,18858880,1462,1325487
nation,England,E92000001,2022-10-25,5181,20179443,3656,18855418,1525,1324025
nation,England,E92000001,2022-10-24,6147,20174262,4295,18851762,1852,1322500
nation,England,E92000001,2022-10-23,5011,20168115,3597,18847467,1414,1320648
nation,England,E92000001,2022-10-22,4527,20163104,3315,18843870,1212,1319234
nation,England,E92000001,2022-10-21,5759,20158577,4162,18840555,1597,1318022
nation,England,E92000001,2022-10-20,6075,20152818,4302,18836393,1773,1316425
nation,England,E92000001,2022-10-19,7042,20146743,5040,18832091,2002,1314652
nation,England,E92000001,2022-10-18,7667,20139701,5430,18827051,2237,1312650
nation,England,E92000001,2022-10-17,9301,20132034,6604,18821621,2697,1310413
nation,England,E92000001,2022-10-16,7257,20122733,5220,18815017,2037,1307716
nation,England,E92000001,2022-10-15,6005,20115476,4434,18809797,1571,1305679
nation,England,E92000001,2022-10-14,7343,20109471,5494,18805363,1849,1304108
nation,England,E92000001,2022-10-13,7563,20102128,5483,18799869,2080,1302259
nation,England,E92000001,2022-10-12,8124,20094565,5807,18794386,2317,1300179
nation,England,E92000001,2022-10-11,8781,20086441,6426,18788579,2355,1297862
nation,England,E92000001,2022-10-10,9835,20077660,7090,18782153,2745,1295507
nation,England,E92000001,2022-10-09,8014,20067825,5882,18775063,2132,1292762
nation,England,E92000001,2022-10-08,6581,20059811,4966,18769181,1615,1290630
nation,England,E92000001,2022-10-07,8333,20053230,6212,18764215,2121,1289015
nation,England,E92000001,2022-10-06,8819,20044897,6615,18758003,2204,1286894
nation,England,E92000001,2022-10-05,9544,20036078,7035,18751388,2509,1284690
nation,England,E92000001,2022-10-04,10246,20026534,7550,18744353,2696,1282181
nation,England,E92000001,2022-10-03,10881,20016288,7967,18736803,2914,1279485
nation,England,E92000001,2022-10-02,8623,20005407,6506,18728836,2117,1276571
nation,England,E92000001,2022-10-01,6564,19996784,5036,18722330,1528,1274454
nation,England,E92000001,2022-09-30,7099,19990220,5453,18717294,1646,1272926
nation,England,E92000001,2022-09-29,7352,19983121,5559,18711841,1793,1271280
nation,England,E92000001,2022-09-28,7806,19975769,5872,18706282,1934,1269487
nation,England,E92000001,2022-09-27,7647,19967963,5640,18700410,2007,1267553
nation,England,E92000001,2022-09-26,8042,19960316,5871,18694770,2171,1265546
nation,England,E92000001,2022-09-25,6737,19952274,4960,18688899,1777,1263375
nation,England,E92000001,2022-09-24,5309,19945537,4007,18683939,1302,1261598
nation,England,E92000001,2022-09-23,6006,19940228,4525,18679932,1481,1260296
nation,England,E92000001,2022-09-22,6294,19934222,4638,18675407,1656,1258815
nation,England,E92000001,2022-09-21,6940,19927928,5086,18670769,1854,1257159
nation,England,E92000001,2022-09-20,7200,19920988,5165,18665683,2035,1255305
nation,England,E92000001,2022-09-19,5702,19913788,4022,18660518,1680,1253270
nation,England,E92000001,2022-09-18,3943,19908086,2881,18656496,1062,1251590
nation,England,E92000001,2022-09-17,3188,19904143,2381,18653615,807,1250528
nation,England,E92000001,2022-09-16,3729,19900955,2762,18651234,967,1249721
nation,England,E92000001,2022-09-15,4200,19897226,3017,18648472,1183,1248754
nation,England,E92000001,2022-09-14,4453,19893026,3236,18645455,1217,1247571
nation,England,E92000001,2022-09-13,4601,19888573,3404,18642219,1197,1246354
nation,England,E92000001,2022-09-12,4758,19883972,3392,18638815,1366,1245157
nation,England,E92000001,2022-09-11,3890,19879214,2844,18635423,1046,1243791
nation,England,E92000001,2022-09-10,2861,19875324,2119,18632579,742,1242745
nation,England,E92000001,2022-09-09,3103,19872463,2326,18630460,777,1242003
nation,England,E92000001,2022-09-08,3250,19869360,2370,18628134,880,1241226
nation,England,E92000001,2022-09-07,3749,19866110,2738,18625764,1011,1240346
nation,England,E92000001,2022-09-06,3940,19862361,2868,18623026,1072,1239335
nation,England,E92000001,2022-09-05,4385,19858421,3153,18620158,1232,1238263
nation,England,E92000001,2022-09-04,3759,19854036,2770,18617005,989,1237031
nation,England,E92000001,2022-09-03,2971,19850277,2213,18614235,758,1236042
nation,England,E92000001,2022-09-02,3239,19847306,2437,18612022,802,1235284
nation,England,E92000001,2022-09-01,3760,19844067,2733,18609585,1027,1234482
nation,England,E92000001,2022-08-31,3975,19840307,2935,18606852,1040,1233455
nation,England,E92000001,2022-08-30,4473,19836332,3162,18603917,1311,1232415
nation,England,E92000001,2022-08-29,3936,19831859,2840,18600755,1096,1231104
nation,England,E92000001,2022-08-28,2882,19827923,2192,18597915,690,1230008
nation,England,E92000001,2022-08-27,2606,19825041,1978,18595723,628,1229318
nation,England,E92000001,2022-08-26,2997,19822435,2285,18593745,712,1228690
nation,England,E92000001,2022-08-25,3266,19819438,2405,18591460,861,1227978
nation,England,E92000001,2022-08-24,3913,19816172,2907,18589055,1006,1227117
nation,England,E92000001,2022-08-23,4076,19812259,3046,18586148,1030,1226111
nation,England,E92000001,2022-08-22,4575,19808183,3379,18583102,1196,1225081
nation,England,E92000001,2022-08-21,3547,19803608,2612,18579723,935,1223885
nation,England,E92000001,2022-08-20,3059,19800061,2335,18577111,724,1222950
nation,England,E92000001,2022-08-19,3492,19797002,2622,18574776,870,1222226
nation,England,E92000001,2022-08-18,3989,19793510,2969,18572154,1020,1221356
nation,England,E92000001,2022-08-17,4421,19789521,3284,18569185,1137,1220336
nation,England,E92000001,2022-08-16,4845,19785100,3621,18565901,1224,1219199
nation,England,E92000001,2022-08-15,5606,19780255,4182,18562280,1424,1217975
nation,England,E92000001,2022-08-14,4781,19774649,3621,18558098,1160,1216551
nation,England,E92000001,2022-08-13,3978,19769868,3055,18554477,923,1215391
nation,England,E92000001,2022-08-12,4781,19765890,3657,18551422,1124,1214468
nation,England,E92000001,2022-08-11,5446,19761109,4082,18547765,1364,1213344
nation,England,E92000001,2022-08-10,6003,19755663,4510,18543683,1493,1211980
nation,England,E92000001,2022-08-09,6462,19749660,4926,18539173,1536,1210487
nation,England,E92000001,2022-08-08,7226,19743198,5310,18534247,1916,1208951
nation,England,E92000001,2022-08-07,5897,19735972,4491,18528937,1406,1207035
nation,England,E92000001,2022-08-06,4852,19730075,3761,18524446,1091,1205629
nation,England,E92000001,2022-08-05,5859,19725223,4489,18520685,1370,1204538
nation,England,E92000001,2022-08-04,6524,19719364,4976,18516196,1548,1203168
nation,England,E92000001,2022-08-03,7419,19712840,5727,18511220,1692,1201620
nation,England,E92000001,2022-08-02,8165,19705421,6177,18505493,1988,1199928
nation,England,E92000001,2022-08-01,8814,19697256,6649,18499316,2165,1197940
nation,England,E92000001,2022-07-31,7672,19688442,5888,18492667,1784,1195775
nation,England,E92000001,2022-07-30,6612,19680770,5145,18486779,1467,1193991
nation,England,E92000001,2022-07-29,7585,19674158,5852,18481634,1733,1192524
nation,England,E92000001,2022-07-28,8339,19666573,6352,18475782,1987,1190791
nation,England,E92000001,2022-07-27,9435,19658234,7190,18469430,2245,1188804
nation,England,E92000001,2022-07-26,10482,19648799,8053,18462240,2429,1186559
nation,England,E92000001,2022-07-25,11929,19638317,9140,18454187,2789,1184130
nation,England,E92000001,2022-07-24,10216,19626388,7841,18445047,2375,1181341
nation,England,E92000001,2022-07-23,8909,19616172,6977,18437206,1932,1178966
nation,England,E92000001,2022-07-22,11177,19607263,8656,18430229,2521,1177034
nation,England,E92000001,2022-07-21,12791,19596086,9872,18421573,2919,1174513
nation,England,E92000001,2022-07-20,14533,19583295,11290,18411701,3243,1171594
nation,England,E92000001,2022-07-19,14866,19568762,11348,18400411,3518,1168351
nation,England,E92000001,2022-07-18,16919,19553896,12797,18389063,4122,1164833
nation,England,E92000001,2022-07-17,15702,19536977,12071,18376266,3631,1160711
nation,England,E92000001,2022-07-16,13677,19521275,10680,18364195,2997,1157080
nation,England,E92000001,2022-07-15,16626,19507598,12843,18353515,3783,1154083
nation,England,E92000001,2022-07-14,19340,19490972,14752,18340672,4588,1150300
nation,England,E92000001,2022-07-13,21639,19471632,16643,18325920,4996,1145712
nation,England,E92000001,2022-07-12,24377,19449993,18606,18309277,5771,1140716
nation,England,E92000001,2022-07-11,27198,19425616,20619,18290671,6579,1134945
nation,England,E92000001,2022-07-10,23046,19398418,17808,18270052,5238,1128366
nation,England,E92000001,2022-07-09,19354,19375372,15269,18252244,4085,1123128
nation,England,E92000001,2022-07-08,22173,19356018,17504,18236975,4669,1119043
nation,England,E92000001,2022-07-07,24049,19333845,18601,18219471,5448,1114374
nation,England,E92000001,2022-07-06,26741,19309796,20649,18200870,6092,1108926
nation,England,E92000001,2022-07-05,28118,19283055,21785,18180221,6333,1102834
nation,England,E92000001,2022-07-04,30388,19254937,23338,18158436,7050,1096501
nation,England,E92000001,2022-07-03,25172,19224549,19477,18135098,5695,1089451
nation,England,E92000001,2022-07-02,19586,19199377,15546,18115621,4040,1083756
nation,England,E92000001,2022-07-01,21067,19179791,16751,18100075,4316,1079716
nation,England,E92000001,2022-06-30,21513,19158724,16836,18083324,4677,1075400
nation,England,E92000001,2022-06-29,21720,19137211,17058,18066488,4662,1070723
nation,England,E92000001,2022-06-28,21869,19115491,17362,18049430,4507,1066061
nation,England,E92000001,2022-06-27,21896,19093622,17277,18032068,4619,1061554
nation,England,E92000001,2022-06-26,18039,19071726,14411,18014791,3628,1056935
nation,England,E92000001,2022-06-25,14478,19053687,11846,18000380,2632,1053307
nation,England,E92000001,2022-06-24,15626,19039209,12679,17988534,2947,1050675
nation,England,E92000001,2022-06-23,16698,19023583,13495,17975855,3203,1047728
nation,England,E92000001,2022-06-22,17764,19006885,14461,17962360,3303,1044525
nation,England,E92000001,2022-06-21,17531,18989121,14193,17947899,3338,1041222
nation,England,E92000001,2022-06-20,16918,18971590,13612,17933706,3306,1037884
nation,England,E92000001,2022-06-19,14524,18954672,11857,17920094,2667,1034578
nation,England,E92000001,2022-06-18,11634,18940148,9652,17908237,1982,1031911
nation,England,E92000001,2022-06-17,11640,18928514,9631,17898585,2009,1029929
nation,England,E92000001,2022-06-16,11915,18916874,9655,17888954,2260,1027920
nation,England,E92000001,2022-06-15,12387,18904959,10105,17879299,2282,1025660
nation,England,E92000001,2022-06-14,12660,18892572,10409,17869194,2251,1023378
nation,England,E92000001,2022-06-13,12954,18879912,10469,17858785,2485,1021127
nation,England,E92000001,2022-06-12,10718,18866958,8838,17848316,1880,1018642
nation,England,E92000001,2022-06-11,8468,18856240,7043,17839478,1425,1016762
nation,England,E92000001,2022-06-10,9153,18847772,7639,17832435,1514,1015337
nation,England,E92000001,2022-06-09,9589,18838619,7901,17824796,1688,1013823
nation,England,E92000001,2022-06-08,9952,18829030,8184,17816895,1768,1012135
nation,England,E92000001,2022-06-07,9484,18819078,7813,17808711,1671,1010367
nation,England,E92000001,2022-06-06,9798,18809594,8048,17800898,1750,1008696
nation,England,E92000001,2022-06-05,8350,18799796,6942,17792850,1408,1006946
nation,England,E92000001,2022-06-04,6278,18791446,5358,17785908,920,1005538
nation,England,E92000001,2022-06-03,5581,18785168,4791,17780550,790,1004618
nation,England,E92000001,2022-06-02,5081,18779587,4334,17775759,747,1003828
nation,England,E92000001,2022-06-01,5711,18774506,4954,17771425,757,1003081
nation,England,E92000001,2022-05-31,5734,18768795,4904,17766471,830,1002324
nation,England,E92000001,2022-05-30,5928,18763061,5041,17761567,887,1001494
nation,England,E92000001,2022-05-29,4687,18757133,3996,17756526,691,1000607
nation,England,E92000001,2022-05-28,4153,18752446,3561,17752530,592,999916
nation,England,E92000001,2022-05-27,4494,18748293,3826,17748969,668,999324
nation,England,E92000001,2022-05-26,4819,18743799,4001,17745143,818,998656
nation,England,E92000001,2022-05-25,5189,18738980,4305,17741142,884,997838
nation,England,E92000001,2022-05-24,5593,18733791,4648,17736837,945,996954
nation,England,E92000001,2022-05-23,6248,18728198,5124,17732189,1124,996009
nation,England,E92000001,2022-05-22,5151,18721950,4345,17727065,806,994885
nation,England,E92000001,2022-05-21,4243,18716799,3589,17722720,654,994079
nation,England,E92000001,2022-05-20,5049,18712556,4240,17719131,809,993425
nation,England,E92000001,2022-05-19,5785,18707507,4733,17714891,1052,992616
nation,England,E92000001,2022-05-18,6392,18701722,5317,17710158,1075,991564
nation,England,E92000001,2022-05-17,6833,18695330,5678,17704841,1155,990489
nation,England,E92000001,2022-05-16,7883,18688497,6453,17699163,1430,989334
nation,England,E92000001,2022-05-15,6730,18680614,5637,17692710,1093,987904
nation,England,E92000001,2022-05-14,5139,18673884,4312,17687073,827,986811
nation,England,E92000001,2022-05-13,5794,18668745,4905,17682761,889,985984
nation,England,E92000001,2022-05-12,6376,18662951,5342,17677856,1034,985095
nation,England,E92000001,2022-05-11,7265,18656575,6065,17672514,1200,984061
nation,England,E92000001,2022-05-10,8154,18649310,6775,17666449,1379,982861
nation,England,E92000001,2022-05-09,8876,18641156,7334,17659674,1542,981482
nation,England,E92000001,2022-05-08,7664,18632280,6417,17652340,1247,979940
nation,England,E92000001,2022-05-07,6354,18624616,5447,17645923,907,978693
nation,England,E92000001,2022-05-06,7518,18618262,6374,17640476,1144,977786
nation,England,E92000001,2022-05-05,8592,18610744,7218,17634102,1374,976642
nation,England,E92000001,2022-05-04,9783,18602152,8242,17626884,1541,975268
nation,England,E92000001,2022-05-03,11155,18592369,9308,17618642,1847,973727
nation,England,E92000001,2022-05-02,10343,18581214,8744,17609334,1599,971880
nation,England,E92000001,2022-05-01,7718,18570871,6638,17600590,1080,970281
nation,England,E92000001,2022-04-30,6863,18563153,5944,17593952,919,969201
nation,England,E92000001,2022-04-29,7992,18556290,6860,17588008,1132,968282
nation,England,E92000001,2022-04-28,9056,18548298,7720,17581148,1336,967150
nation,England,E92000001,2022-04-27,10120,18539242,8630,17573428,1490,965814
nation,England,E92000001,2022-04-26,11293,18529122,9635,17564798,1658,964324
nation,England,E92000001,2022-04-25,13404,18517829,11286,17555163,2118,962666
nation,England,E92000001,2022-04-24,11867,18504425,10248,17543877,1619,960548
nation,England,E92000001,2022-04-23,10573,18492558,9264,17533629,1309,958929
nation,England,E92000001,2022-04-22,12526,18481985,10855,17524365,1671,957620
nation,England,E92000001,2022-04-21,14520,18469459,12571,17513510,1949,955949
nation,England,E92000001,2022-04-20,16973,18454939,14772,17500939,2201,954000
nation,England,E92000001,2022-04-19,20595,18437966,17778,17486167,2817,951799
nation,England,E92000001,2022-04-18,20566,18417371,17873,17468389,2693,948982
nation,England,E92000001,2022-04-17,16262,18396805,14390,17450516,1872,946289
nation,England,E92000001,2022-04-16,16091,18380543,14361,17436126,1730,944417
nation,England,E92000001,2022-04-15,17306,18364452,15381,17421765,1925,942687
nation,England,E92000001,2022-04-14,21434,18347146,18975,17406384,2459,940762
nation,England,E92000001,2022-04-13,25507,18325712,22617,17387409,2890,938303
nation,England,E92000001,2022-04-12,27382,18300205,24178,17364792,3204,935413
nation,England,E92000001,2022-04-11,30597,18272823,26941,17340614,3656,932209
nation,England,E92000001,2022-04-10,25641,18242226,22869,17313673,2772,928553
nation,England,E92000001,2022-04-09,23013,18216585,20510,17290804,2503,925781
nation,England,E92000001,2022-04-08,27391,18193572,24309,17270294,3082,923278
nation,England,E92000001,2022-04-07,31745,18166181,27979,17245985,3766,920196
nation,England,E92000001,2022-04-06,36891,18134436,32602,17218006,4289,916430
nation,England,E92000001,2022-04-05,40393,18097545,35749,17185404,4644,912141
nation,England,E92000001,2022-04-04,45140,18057152,39808,17149655,5332,907497
nation,England,E92000001,2022-04-03,35606,18012012,31745,17109847,3861,902165
nation,England,E92000001,2022-04-02,31609,17976406,28262,17078102,3347,898304
nation,England,E92000001,2022-04-01,40342,17944797,35905,17049840,4437,894957
nation,England,E92000001,2022-03-31,45879,17904455,40708,17013935,5171,890520
nation,England,E92000001,2022-03-30,62750,17858576,55348,16973227,7402,885349
nation,England,E92000001,2022-03-29,67441,17795826,59379,16917879,8062,877947
nation,England,E92000001,2022-03-28,78909,17728385,69235,16858500,9674,869885
nation,England,E92000001,2022-03-27,58000,17649476,51350,16789265,6650,860211
nation,England,E92000001,2022-03-26,51776,17591476,46259,16737915,5517,853561
nation,England,E92000001,2022-03-25,60256,17539700,53551,16691656,6705,848044
nation,England,E92000001,2022-03-24,68604,17479444,60941,16638105,7663,841339
nation,England,E92000001,2022-03-23,77600,17410840,68847,16577164,8753,833676
nation,England,E92000001,2022-03-22,81845,17333240,72556,16508317,9289,824923
nation,England,E92000001,2022-03-21,89907,17251395,79360,16435761,10547,815634
nation,England,E92000001,2022-03-20,66907,17161488,59480,16356401,7427,805087
nation,England,E92000001,2022-03-19,55211,17094581,49582,16296921,5629,797660
nation,England,E92000001,2022-03-18,61904,17039370,55419,16247339,6485,792031
nation,England,E92000001,2022-03-17,67687,16977466,60471,16191920,7216,785546
nation,England,E92000001,2022-03-16,73951,16909779,66030,16131449,7921,778330
nation,England,E92000001,2022-03-15,74101,16835828,66269,16065419,7832,770409
nation,England,E92000001,2022-03-14,79517,16761727,70930,15999150,8587,762577
nation,England,E92000001,2022-03-13,60271,16682210,53991,15928220,6280,753990
nation,England,E92000001,2022-03-12,49161,16621939,44266,15874229,4895,747710
nation,England,E92000001,2022-03-11,52270,16572778,47064,15829963,5206,742815
nation,England,E92000001,2022-03-10,54298,16520508,48774,15782899,5524,737609
nation,England,E92000001,2022-03-09,55491,16466210,49875,15734125,5616,732085
nation,England,E92000001,2022-03-08,52343,16410719,47058,15684250,5285,726469
nation,England,E92000001,2022-03-07,50982,16358376,45549,15637192,5433,721184
nation,England,E92000001,2022-03-06,35914,16307394,32403,15591643,3511,715751
nation,England,E92000001,2022-03-05,28509,16271480,25912,15559240,2597,712240
nation,England,E92000001,2022-03-04,30605,16242971,27716,15533328,2889,709643
nation,England,E92000001,2022-03-03,31533,16212366,28490,15505612,3043,706754
nation,England,E92000001,2022-03-02,33361,16180833,30086,15477122,3275,703711
nation,England,E92000001,2022-03-01,31864,16147472,28987,15447036,2877,700436
nation,England,E92000001,2022-02-28,31865,16115608,28815,15418049,3050,697559
nation,England,E92000001,2022-02-27,22165,16083743,20134,15389234,2031,694509
nation,England,E92000001,2022-02-26,17604,16061578,16127,15369100,1477,692478
nation,England,E92000001,2022-02-25,19533,16043974,17767,15352973,1766,691001
nation,England,E92000001,2022-02-24,21882,16024441,19801,15335206,2081,689235
nation,England,E92000001,2022-02-23,26008,16002559,23619,15315405,2389,687154
nation,England,E92000001,2022-02-22,28019,15976551,25330,15291786,2689,684765
nation,England,E92000001,2022-02-21,33034,15948532,29914,15266456,3120,682076
nation,England,E92000001,2022-02-20,28411,15915498,25905,15236542,2506,678956
nation,England,E92000001,2022-02-19,26429,15887087,24156,15210637,2273,676450
nation,England,E92000001,2022-02-18,24923,15860658,22667,15186481,2256,674177
nation,England,E92000001,2022-02-17,34168,15835735,30958,15163814,3210,671921
nation,England,E92000001,2022-02-16,39445,15801567,35729,15132856,3716,668711
nation,England,E92000001,2022-02-15,40145,15762122,36339,15097127,3806,664995
nation,England,E92000001,2022-02-14,42490,15721977,38431,15060788,4059,661189
nation,England,E92000001,2022-02-13,32326,15679487,29342,15022357,2984,657130
nation,England,E92000001,2022-02-12,29142,15647161,26641,14993015,2501,654146
nation,England,E92000001,2022-02-11,34944,15618019,31726,14966374,3218,651645
nation,England,E92000001,2022-02-10,41331,15583075,37253,14934648,4078,648427
nation,England,E92000001,2022-02-09,51013,15541744,45961,14897395,5052,644349
nation,England,E92000001,2022-02-08,55437,15490731,49986,14851434,5451,639297
nation,England,E92000001,2022-02-07,62672,15435294,56300,14801448,6372,633846
nation,England,E92000001,2022-02-06,50148,15372622,45157,14745148,4991,627474
nation,England,E92000001,2022-02-05,43233,15322474,39309,14699991,3924,622483
nation,England,E92000001,2022-02-04,52556,15279241,47718,14660682,4838,618559
nation,England,E92000001,2022-02-03,64032,15226685,57740,14612964,6292,613721
nation,England,E92000001,2022-02-02,73908,15162653,66617,14555224,7291,607429
nation,England,E92000001,2022-02-01,78511,15088745,70497,14488607,8014,600138
nation,England,E92000001,2022-01-31,88502,15010234,79482,14418110,9020,592124
nation,England,E92000001,2022-01-30,74980,14921732,67592,14338628,7388,583104
nation,England,E92000001,2022-01-29,63024,14846752,57279,14271036,5745,575716
nation,England,E92000001,2022-01-28,71682,14783728,64865,14213757,6817,569971
nation,England,E92000001,2022-01-27,82726,14712046,74670,14148892,8056,563154
nation,England,E92000001,2022-01-26,93211,14629320,83995,14074222,9216,555098
nation,England,E92000001,2022-01-25,96955,14536109,87345,13990227,9610,545882
nation,England,E92000001,2022-01-24,109233,14439154,98279,13902882,10954,536272
nation,England,E92000001,2022-01-23,88558,14329921,80099,13804603,8459,525318
nation,England,E92000001,2022-01-22,70483,14241363,64188,13724504,6295,516859
nation,England,E92000001,2022-01-21,79172,14170880,71811,13660316,7361,510564
nation,England,E92000001,2022-01-20,86951,14091708,78892,13588505,8059,503203
nation,England,E92000001,2022-01-19,97335,14004757,88154,13509613,9181,495144
nation,England,E92000001,2022-01-18,103308,13907422,93489,13421459,9819,485963
nation,England,E92000001,2022-01-17,114776,13804114,103816,13327970,10960,476144
nation,England,E92000001,2022-01-16,85599,13689338,77694,13224154,7905,465184
nation,England,E92000001,2022-01-15,67821,13603739,62053,13146460,5768,457279
nation,England,E92000001,2022-01-14,75174,13535918,68447,13084407,6727,451511
nation,England,E92000001,2022-01-13,84132,13460744,76293,13015960,7839,444784
nation,England,E92000001,2022-01-12,90000,13376612,81437,12939667,8563,436945
nation,England,E92000001,2022-01-11,100979,13286612,91494,12858230,9485,428382
nation,England,E92000001,2022-01-10,116343,13185633,105282,12766736,11061,418897
nation,England,E92000001,2022-01-09,83081,13069290,75307,12661454,7774,407836
nation,England,E92000001,2022-01-08,81221,12986209,73722,12586147,7499,400062
nation,England,E92000001,2022-01-07,105080,12904988,94766,12512425,10314,392563
nation,England,E92000001,2022-01-06,150786,12799908,134875,12417659,15911,382249
nation,England,E92000001,2022-01-05,183798,12649122,164545,12282784,19253,366338
nation,England,E92000001,2022-01-04,234873,12465324,210588,12118239,24285,347085
nation,England,E92000001,2022-01-03,193617,12230451,173526,11907651,20091,322800
nation,England,E92000001,2022-01-02,148609,12036834,133959,11734125,14650,302709
nation,England,E92000001,2022-01-01,99303,11888225,90305,11600166,8998,288059
nation,England,E92000001,2021-12-31,152887,11788922,138928,11509861,13959,279061
nation,England,E92000001,2021-12-30,192825,11636035,175037,11370933,17788,265102
nation,England,E92000001,2021-12-29,224031,11443210,204432,11195896,19599,247314
nation,England,E92000001,2021-12-28,170586,11219179,155667,10991464,14919,227715
nation,England,E92000001,2021-12-27,155567,11048593,142564,10835797,13003,212796
nation,England,E92000001,2021-12-26,98918,10893026,91201,10693233,7717,199793
nation,England,E92000001,2021-12-25,59912,10794108,55564,10602032,4348,192076
nation,England,E92000001,2021-12-24,117562,10734196,108028,10546468,9534,187728
nation,England,E92000001,2021-12-23,137021,10616634,125444,10438440,11577,178194
nation,England,E92000001,2021-12-22,138142,10479613,126489,10312996,11653,166617
nation,England,E92000001,2021-12-21,129599,10341471,119021,10186507,10578,154964
nation,England,E92000001,2021-12-20,117577,10211872,108419,10067486,9158,144386
nation,England,E92000001,2021-12-19,78497,10094295,72713,9959067,5784,135228
nation,England,E92000001,2021-12-18,78930,10015798,73210,9886354,5720,129444
nation,England,E92000001,2021-12-17,84967,9936868,78647,9813144,6320,123724
nation,England,E92000001,2021-12-16,93804,9851901,86931,9734497,6873,117404
nation,England,E92000001,2021-12-15,99655,9758097,92595,9647566,7060,110531
nation,England,E92000001,2021-12-14,90717,9658442,84773,9554971,5944,103471
nation,England,E92000001,2021-12-13,76507,9567725,72509,9470198,3998,97527
nation,England,E92000001,2021-12-12,46367,9491218,44506,9397689,1861,93529
nation,England,E92000001,2021-12-11,41940,9444851,40517,9353183,1423,91668
nation,England,E92000001,2021-12-10,45018,9402911,43539,9312666,1479,90245
nation,England,E92000001,2021-12-09,48817,9357893,47248,9269127,1569,88766
nation,England,E92000001,2021-12-08,50059,9309076,48591,9221879,1468,87197
nation,England,E92000001,2021-12-07,48146,9259017,46903,9173288,1243,85729
nation,England,E92000001,2021-12-06,51123,9210871,49979,9126385,1144,84486
nation,England,E92000001,2021-12-05,35037,9159748,34455,9076406,582,83342
nation,England,E92000001,2021-12-04,33380,9124711,32837,9041951,543,82760
nation,England,E92000001,2021-12-03,39222,9091331,38624,9009114,598,82217
nation,England,E92000001,2021-12-02,43045,9052109,42393,8970490,652,81619
nation,England,E92000001,2021-12-01,47263,9009064,46562,8928097,701,80967
nation,England,E92000001,2021-11-30,47632,8961801,46946,8881535,686,80266
nation,England,E92000001,2021-11-29,47939,8914169,47190,8834589,749,79580
nation,England,E92000001,2021-11-28,33857,8866230,33400,8787399,457,78831
nation,England,E92000001,2021-11-27,28459,8832373,28080,8753999,379,78374
nation,England,E92000001,2021-11-26,33666,8803914,33212,8725919,454,77995
nation,England,E92000001,2021-11-25,37143,8770248,36588,8692707,555,77541
nation,England,E92000001,2021-11-24,39881,8733105,39315,8656119,566,76986
nation,England,E92000001,2021-11-23,41015,8693224,40483,8616804,532,76420
nation,England,E92000001,2021-11-22,42869,8652209,42310,8576321,559,75888
nation,England,E92000001,2021-11-21,31761,8609340,31358,8534011,403,75329
nation,England,E92000001,2021-11-20,29868,8577579,29498,8502653,370,74926
nation,England,E92000001,2021-11-19,33184,8547711,32772,8473155,412,74556
nation,England,E92000001,2021-11-18,37099,8514527,36607,8440383,492,74144
nation,England,E92000001,2021-11-17,38257,8477428,37771,8403776,486,73652
nation,England,E92000001,2021-11-16,38656,8439171,38112,8366005,544,73166
nation,England,E92000001,2021-11-15,42477,8400515,41891,8327893,586,72622
nation,England,E92000001,2021-11-14,29599,8358038,29242,8286002,357,72036
nation,England,E92000001,2021-11-13,27358,8328439,27042,8256760,316,71679
nation,England,E92000001,2021-11-12,31337,8301081,30918,8229718,419,71363
nation,England,E92000001,2021-11-11,33700,8269744,33235,8198800,465,70944
nation,England,E92000001,2021-11-10,35390,8236044,34912,8165565,478,70479
nation,England,E92000001,2021-11-09,34679,8200654,34205,8130653,474,70001
nation,England,E92000001,2021-11-08,36138,8165975,35607,8096448,531,69527
nation,England,E92000001,2021-11-07,25447,8129837,25107,8060841,340,68996
nation,England,E92000001,2021-11-06,22581,8104390,22280,8035734,301,68656
nation,England,E92000001,2021-11-05,24405,8081809,24039,8013454,366,68355
nation,England,E92000001,2021-11-04,27379,8057404,27033,7989415,346,67989
nation,England,E92000001,2021-11-03,29396,8030025,29014,7962382,382,67643
nation,England,E92000001,2021-11-02,31328,8000629,30911,7933368,417,67261
nation,England,E92000001,2021-11-01,37663,7969301,37116,7902457,547,66844
nation,England,E92000001,2021-10-31,29564,7931638,29166,7865341,398,66297
nation,England,E92000001,2021-10-30,28243,7902074,27952,7836175,291,65899
nation,England,E92000001,2021-10-29,33995,7873831,33562,7808223,433,65608
nation,England,E92000001,2021-10-28,35076,7839836,34646,7774661,430,65175
nation,England,E92000001,2021-10-27,36524,7804760,36100,7740015,424,64745
nation,England,E92000001,2021-10-26,35276,7768236,34861,7703915,415,64321
